Year,sum,mean,std
1855,111.0,1.0,0.0
1856,135.0,1.0,0.0
1857,142.0,1.0,0.0
1858,158.0,1.0,0.0
1859,153.0,1.0,0.0
1860,146.0,1.0,0.0
1861,166.0,1.0,0.0
1862,144.0,1.0,0.0
1863,165.0,1.0,0.0
1864,152.0,1.0,0.0
1865,139.0,1.0,0.0
1866,135.0,1.0,0.0
1867,162.0,1.0,0.0
1868,134.0,1.0,0.0
1869,168.0,1.0,0.0
1870,152.0,1.0,0.0
1871,154.0,1.0,0.0
1872,179.0,1.0,0.0
1873,166.0,1.0,0.0
1874,154.0,1.0,0.0
1875,179.0,1.0,0.0
1876,160.0,1.0,0.0
1877,138.0,1.0,0.0
1878,133.0,1.0,0.0
1879,147.0,1.0,0.0
1880,161.0,1.0,0.0
1881,148.0,1.0,0.0
1882,137.0,1.0,0.0
1883,137.0,1.0,0.0
1884,141.0,1.0,0.0
1885,132.0,1.0,0.0
1886,134.0,1.0,0.0
1887,161.0,1.0,0.0
1888,130.0,1.0,0.0
1889,144.0,1.0,0.0
1890,144.0,1.0,0.0
1891,124.0,1.0,0.0
1892,139.0,1.0,0.0
1893,153.0,1.0,0.0
1894,153.0,1.0,0.0
1895,146.0,1.0,0.0
1896,141.0,1.0,0.0
1897,137.0,1.0,0.0
1898,121.0,1.0,0.0
1899,136.0,1.0,0.0
1900,155.0,1.0,0.0
1901,146.0,1.0,0.0
1902,143.0,1.0,0.0
1903,152.0,1.0,0.0
1904,149.0,1.0,0.0
1905,152.0,1.0,0.0
1906,134.0,1.0,0.0
1907,128.0,1.0,0.0
1908,143.0,1.0,0.0
1909,182.0,1.0,0.0
1910,181.0,1.0,0.0
1911,174.0,1.0,0.0
1912,170.0,1.0,0.0
1913,168.0,1.0,0.0
1914,144.0,1.0,0.0
1915,175.0,1.0,0.0
1916,188.0,1.0,0.0
1917,182.0,1.0,0.0
1918,173.0,1.0,0.0
1919,145.0,1.0,0.0
1920,176.0,1.0,0.0
1921,160.0,1.0,0.0
1922,165.0,1.0,0.0
1923,163.0,1.0,0.0
1924,183.0,1.0,0.0
1925,161.0,1.0,0.0
1926,157.0,1.0,0.0
1927,146.0,1.0,0.0
1928,158.0,1.0,0.0
1929,175.0,1.0,0.0
1930,159.0,1.0,0.0
1931,168.0,1.0,0.0
1932,186.0,1.0,0.0
1933,141.0,1.0,0.0
1934,170.0,1.0,0.0
1935,187.0,1.0,0.0
1936,191.0,1.0,0.0
1937,160.0,1.0,0.0
1938,136.0,1.0,0.0
1939,177.0,1.0,0.0
1940,126.0,1.0,0.0
1941,160.0,1.0,0.0
1942,152.0,1.0,0.0
1943,151.0,1.0,0.0
1944,143.0,1.0,0.0
1945,165.0,1.0,0.0
1946,177.0,1.0,0.0
1947,163.0,1.0,0.0
1948,156.0,1.0,0.0
1949,165.0,1.0,0.0
1950,155.0,1.0,0.0
1951,157.0,1.0,0.0
1952,177.0,1.0,0.0
1953,149.0,1.0,0.0
1954,139.0,1.0,0.0
1955,160.0,1.0,0.0
1956,188.0,1.0,0.0
1957,147.0,1.0,0.0
1958,157.0,1.0,0.0
1959,132.0,1.0,0.0
1960,165.0,1.0,0.0
1961,136.0,1.0,0.0
1962,143.0,1.0,0.0
1963,150.0,1.0,0.0
1964,166.0,1.0,0.0
1965,123.0,1.0,0.0
1966,157.0,1.0,0.0
1967,109.0,1.0,0.0
1968,141.0,1.0,0.0
1969,137.0,1.0,0.0
1970,153.0,1.0,0.0
1971,154.0,1.0,0.0
1972,123.0,1.0,0.0
1973,152.0,1.0,0.0
1974,166.0,1.0,0.0
1975,170.0,1.0,0.0
1976,142.0,1.0,0.0
1977,137.0,1.0,0.0
1978,148.0,1.0,0.0
1979,153.0,1.0,0.0
1980,149.0,1.0,0.0
1981,138.0,1.0,0.0
1982,101.0,1.0,0.0
1983,144.0,1.0,0.0
1984,142.0,1.0,0.0
1985,151.0,1.0,0.0
1986,146.0,1.0,0.0
1987,141.0,1.0,0.0
1988,144.0,1.0,0.0
1989,160.0,1.0,0.0
1990,152.0,1.0,0.0
1991,160.0,1.0,0.0
1992,177.0,1.0,0.0
1993,164.0,1.0,0.0
1994,131.0,1.0,0.0
1995,347.0,1.0,0.0
1996,240.0,1.0,0.0
1997,117.0,1.0,0.0
1998,127.0,1.0,0.0
1999,124.0,1.0,0.0
2000,138.0,1.0,0.0
2001,148.0,1.0,0.0
2002,130.0,1.0,0.0
2003,135.0,1.0,0.0
2004,124.0,1.0,0.0
2005,130.0,1.0,0.0
2006,112.0,1.0,0.0
2007,131.0,1.0,0.0
2008,129.0,1.0,0.0
2009,121.0,1.0,0.0
2010,152.0,1.062937062937063,0.4779177726549641
2011,196.0,1.180722891566265,0.6059218534122178
2012,212.0,1.618320610687023,0.9401965037420926
2013,214.0,1.5970149253731343,0.9665021265769745
2014,211.0,1.5746268656716418,1.1062152890549717
2015,6.0,1.0,0.0
