Year,Month,sum,mean,std
1855,1,5.0,1.0,0.0
1855,2,3.0,1.0,0.0
1855,3,5.0,1.0,0.0
1855,4,3.0,1.0,0.0
1855,5,2.0,1.0,0.0
1855,6,1.0,1.0,
1855,7,5.0,1.0,0.0
1855,8,4.0,1.0,0.0
1855,9,3.0,1.0,0.0
1855,10,4.0,1.0,0.0
1855,11,5.0,1.0,0.0
1855,12,5.0,1.0,0.0
1855,13,3.0,1.0,0.0
1855,14,3.0,1.0,0.0
1855,15,3.0,1.0,0.0
1855,16,3.0,1.0,0.0
1855,17,3.0,1.0,0.0
1855,18,6.0,1.0,0.0
1855,19,5.0,1.0,0.0
1855,20,2.0,1.0,0.0
1855,21,3.0,1.0,0.0
1855,22,3.0,1.0,0.0
1855,23,1.0,1.0,
1855,24,3.0,1.0,0.0
1855,25,6.0,1.0,0.0
1855,26,6.0,1.0,0.0
1855,27,4.0,1.0,0.0
1855,28,4.0,1.0,0.0
1855,29,4.0,1.0,0.0
1855,30,2.0,1.0,0.0
1855,31,2.0,1.0,0.0
1856,1,1.0,1.0,
1856,2,3.0,1.0,0.0
1856,3,3.0,1.0,0.0
1856,4,7.0,1.0,0.0
1856,5,5.0,1.0,0.0
1856,6,5.0,1.0,0.0
1856,7,8.0,1.0,0.0
1856,8,4.0,1.0,0.0
1856,9,5.0,1.0,0.0
1856,10,3.0,1.0,0.0
1856,11,8.0,1.0,0.0
1856,12,6.0,1.0,0.0
1856,13,2.0,1.0,0.0
1856,14,6.0,1.0,0.0
1856,15,5.0,1.0,0.0
1856,16,3.0,1.0,0.0
1856,17,5.0,1.0,0.0
1856,18,6.0,1.0,0.0
1856,19,5.0,1.0,0.0
1856,20,3.0,1.0,0.0
1856,21,4.0,1.0,0.0
1856,22,5.0,1.0,0.0
1856,23,4.0,1.0,0.0
1856,24,4.0,1.0,0.0
1856,25,3.0,1.0,0.0
1856,26,3.0,1.0,0.0
1856,27,6.0,1.0,0.0
1856,28,4.0,1.0,0.0
1856,29,5.0,1.0,0.0
1856,30,1.0,1.0,
1856,31,3.0,1.0,0.0
1857,1,8.0,1.0,0.0
1857,2,6.0,1.0,0.0
1857,3,5.0,1.0,0.0
1857,4,5.0,1.0,0.0
1857,5,4.0,1.0,0.0
1857,6,4.0,1.0,0.0
1857,7,3.0,1.0,0.0
1857,8,5.0,1.0,0.0
1857,9,4.0,1.0,0.0
1857,10,3.0,1.0,0.0
1857,11,7.0,1.0,0.0
1857,12,6.0,1.0,0.0
1857,13,5.0,1.0,0.0
1857,14,3.0,1.0,0.0
1857,15,4.0,1.0,0.0
1857,16,3.0,1.0,0.0
1857,17,7.0,1.0,0.0
1857,18,3.0,1.0,0.0
1857,19,3.0,1.0,0.0
1857,20,4.0,1.0,0.0
1857,21,4.0,1.0,0.0
1857,22,6.0,1.0,0.0
1857,23,7.0,1.0,0.0
1857,24,8.0,1.0,0.0
1857,25,4.0,1.0,0.0
1857,26,4.0,1.0,0.0
1857,27,3.0,1.0,0.0
1857,28,4.0,1.0,0.0
1857,29,4.0,1.0,0.0
1857,30,4.0,1.0,0.0
1857,31,2.0,1.0,0.0
1858,1,1.0,1.0,
1858,2,4.0,1.0,0.0
1858,3,5.0,1.0,0.0
1858,4,4.0,1.0,0.0
1858,5,3.0,1.0,0.0
1858,6,6.0,1.0,0.0
1858,7,7.0,1.0,0.0
1858,8,6.0,1.0,0.0
1858,9,5.0,1.0,0.0
1858,10,5.0,1.0,0.0
1858,11,6.0,1.0,0.0
1858,12,8.0,1.0,0.0
1858,13,6.0,1.0,0.0
1858,14,3.0,1.0,0.0
1858,15,3.0,1.0,0.0
1858,16,6.0,1.0,0.0
1858,17,6.0,1.0,0.0
1858,18,4.0,1.0,0.0
1858,19,6.0,1.0,0.0
1858,20,7.0,1.0,0.0
1858,21,6.0,1.0,0.0
1858,22,6.0,1.0,0.0
1858,23,6.0,1.0,0.0
1858,24,7.0,1.0,0.0
1858,25,5.0,1.0,0.0
1858,26,2.0,1.0,0.0
1858,27,6.0,1.0,0.0
1858,28,7.0,1.0,0.0
1858,29,6.0,1.0,0.0
1858,30,5.0,1.0,0.0
1858,31,1.0,1.0,
1859,1,4.0,1.0,0.0
1859,2,3.0,1.0,0.0
1859,3,5.0,1.0,0.0
1859,4,0.0,,
1859,5,5.0,1.0,0.0
1859,6,4.0,1.0,0.0
1859,7,3.0,1.0,0.0
1859,8,8.0,1.0,0.0
1859,9,5.0,1.0,0.0
1859,10,7.0,1.0,0.0
1859,11,7.0,1.0,0.0
1859,12,8.0,1.0,0.0
1859,13,8.0,1.0,0.0
